                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     79,                 1.6697,                 1.3297,                 1.0164,                0.42968,                0.30925,                0.29295,                0.17354,                 1.5908,                 1.2364,                0.99135,               0.002377,               0.002377,               0.002377
                     80,                  1.792,                 1.3372,                 1.0162,                0.43551,                 0.3085,                0.29422,                0.17837,                 1.6145,                 1.2583,                0.99339,               0.002278,               0.002278,               0.002278
                     81,                 1.6432,                 1.2765,                 1.0209,                0.45129,                0.30369,                0.28506,                0.17184,                 1.6336,                 1.2614,                0.99475,               0.002179,               0.002179,               0.002179
                     82,                 1.7067,                 1.3029,                 1.0368,                0.43831,                0.29348,                0.28622,                 0.1737,                 1.6122,                 1.2346,                0.98935,                0.00208,                0.00208,                0.00208
                     83,                 1.6411,                 1.2327,                0.98279,                0.31661,                0.29401,                0.28687,                0.17349,                 1.5713,                 1.2016,                0.98351,               0.001981,               0.001981,               0.001981
                     84,                 1.5349,                 1.2099,                  1.014,                0.30333,                0.29818,                 0.2903,                0.17564,                 1.5428,                 1.1779,                0.98212,               0.001882,               0.001882,               0.001882
                     85,                 1.7224,                 1.2042,                  1.013,                0.28395,                0.30588,                0.27668,                0.16504,                 1.5508,                 1.1866,                0.98548,               0.001783,               0.001783,               0.001783
                     86,                 1.6247,                 1.2086,                 1.0016,                0.27295,                0.28319,                0.26708,                0.15844,                 1.5644,                 1.1953,                0.98599,               0.001684,               0.001684,               0.001684
                     87,                 1.5924,                 1.2469,                 1.0165,                0.25852,                0.29225,                 0.2669,                0.15721,                 1.5986,                 1.1986,                0.98987,               0.001585,               0.001585,               0.001585
                     88,                 1.6407,                 1.2365,                 1.0181,                 0.2467,                0.30163,                0.27229,                0.15815,                 1.6172,                 1.1966,                0.99182,               0.001486,               0.001486,               0.001486
                     89,                 1.6506,                 1.2218,                 1.0056,                0.27168,                0.29554,                0.28143,                0.16632,                 1.6057,                 1.1899,                0.98996,               0.001387,               0.001387,               0.001387
                     90,                  1.637,                 1.2432,                 1.0266,                0.32318,                0.28444,                0.30174,                0.18062,                 1.5699,                 1.1744,                0.98478,               0.001288,               0.001288,               0.001288
                     91,                 1.7028,                 1.4186,                 1.0221,                0.34067,                 0.3015,                0.31072,                0.18568,                 1.5457,                 1.1649,                 0.9823,               0.001189,               0.001189,               0.001189
                     92,                 1.6361,                 1.4037,                 1.0435,                0.36923,                0.30159,                0.32304,                0.19322,                 1.5466,                 1.1721,                0.98431,                0.00109,                0.00109,                0.00109
                     93,                 1.7896,                 1.4285,                 1.0364,                0.34334,                 0.3193,                0.32223,                0.19285,                 1.5535,                 1.1865,                0.98527,               0.000991,               0.000991,               0.000991
                     94,                 1.6855,                 1.3028,                 1.0172,                0.36845,                0.32552,                0.31739,                0.19086,                 1.5538,                 1.1971,                0.98492,               0.000892,               0.000892,               0.000892
                     95,                 1.6234,                 1.2446,                 1.0245,                0.38839,                0.31482,                 0.3139,                0.18893,                 1.5546,                 1.2033,                0.98321,               0.000793,               0.000793,               0.000793
                     96,                 1.6302,                 1.2743,                 1.0116,                0.38608,                0.31612,                0.30968,                0.18897,                 1.5608,                 1.2048,                0.98185,               0.000694,               0.000694,               0.000694
                     97,                 1.5555,                 1.2345,                0.99231,                0.46243,                0.30406,                0.30582,                0.18615,                 1.5634,                 1.1992,                0.98059,               0.000595,               0.000595,               0.000595
                     98,                 1.5977,                 1.2401,                  1.008,                0.44683,                0.29903,                0.31052,                0.19054,                 1.5666,                 1.1946,                0.97969,               0.000496,               0.000496,               0.000496
                     99,                 1.5796,                 1.2449,                 1.0005,                0.43615,                0.30877,                0.31206,                 0.1941,                 1.5607,                 1.1853,                0.97878,               0.000397,               0.000397,               0.000397
                    100,                 1.6292,                 1.2549,                 1.0363,                0.46631,                0.28725,                0.31495,                 0.1963,                 1.5465,                 1.1731,                0.97682,               0.000298,               0.000298,               0.000298
